Encoding,Horizon,Problem,counter wrac1_y_wrbc1,counter wrbc1_b_wrcc1,counter wrcc1_x_wrdc1,counter wrdc1_b_wrec1,counter wrec1_y_wrfc1,Total
clingcon,600,./heu_105/result/Instancesv2_round/random/fixlen4/26eve/p03[count=350],169.991,105.408,105.7656,,,381.1646
clingcon,600,./heu_105/result/Instancesv2_round/random/fixlen4/26eve/p04[count=350],169.991,105.408,105.7656,117.595,,498.7596
clingcon,600,./heu_105/result/Instancesv2_round/random/fixlen4/26eve/p05[count=350],169.9414,105.408,105.7656,117.595,152.789,651.499
clingcon,600,./heu_105/result/Instancesv2_round/random/fixlen4/26eve/p02[count=350],169.991,105.408,,,,275.399
clingcon,600,./heu_105/result/Instancesv2_round/random/fixlen4/26eve/p01[count=350],169.991,,,,,169.991
clingcon,600,./heu_105/result/Instancesv2_round/sipp/fixlen4/26eve/p03[count=350],162.9358,135.936,126.7404,,,425.6122
clingcon,600,./heu_105/result/Instancesv2_round/sipp/fixlen4/26eve/p04[count=350],198.3992,127.296,127.0612,136.213,,588.9694
clingcon,600,./heu_105/result/Instancesv2_round/sipp/fixlen4/26eve/p05[count=350],198.3992,127.296,127.0612,136.213,171.741,760.7104
clingcon,600,./heu_105/result/Instancesv2_round/sipp/fixlen4/26eve/p02[count=350],198.3992,127.296,,,,325.6952
clingcon,600,./heu_105/result/Instancesv2_round/sipp/fixlen4/26eve/p01[count=350],195.7864,,,,,195.7864
clingcon,600,./heu_105/result/Instancesv2_round/sippv2/fixlen4/26eve/p03[count=350],163.4358,135.936,126.7404,,,426.1122
clingcon,600,./heu_105/result/Instancesv2_round/sippv2/fixlen4/26eve/p04[count=350],198.0426,127.296,127.0612,136.213,,588.6128
clingcon,600,./heu_105/result/Instancesv2_round/sippv2/fixlen4/26eve/p05[count=350],198.0426,127.296,127.0612,136.213,171.741,760.3538
clingcon,600,./heu_105/result/Instancesv2_round/sippv2/fixlen4/26eve/p02[count=350],198.0426,127.296,,,,325.3386
clingcon,600,./heu_105/result/Instancesv2_round/sippv2/fixlen4/26eve/p01[count=350],195.7864,,,,,195.7864
clingcon,600,./heu_105/result/Instancesv2_round/random/fixlen4/26morn/p03[count=350],151.849,102.528,100.4016,,,354.7786
clingcon,600,./heu_105/result/Instancesv2_round/random/fixlen4/26morn/p04[count=350],151.849,102.528,100.4016,105.878,,460.6566
clingcon,600,./heu_105/result/Instancesv2_round/random/fixlen4/26morn/p05[count=350],151.849,102.528,100.4016,105.219,114.652,574.6496
clingcon,600,./heu_105/result/Instancesv2_round/random/fixlen4/26morn/p02[count=350],151.849,104.832,,,,256.681
clingcon,600,./heu_105/result/Instancesv2_round/random/fixlen4/26morn/p01[count=350],151.849,,,,,151.849
clingcon,600,./heu_105/result/Instancesv2_round/sipp/fixlen4/26morn/p03[count=350],161.0298,134.784,126.4538,,,422.2676
clingcon,600,./heu_105/result/Instancesv2_round/sipp/fixlen4/26morn/p04[count=350],161.0298,134.784,126.4538,117.102,,539.3696
clingcon,600,./heu_105/result/Instancesv2_round/sipp/fixlen4/26morn/p05[count=350],161.0298,134.784,126.4538,117.102,126.188,665.5576
clingcon,600,./heu_105/result/Instancesv2_round/sipp/fixlen4/26morn/p02[count=350],161.0298,134.784,,,,295.8138
clingcon,600,./heu_105/result/Instancesv2_round/sipp/fixlen4/26morn/p01[count=350],161.0298,,,,,161.0298
clingcon,600,./heu_105/result/Instancesv2_round/sippv2/fixlen4/26morn/p03[count=350],162.0536,134.784,126.4538,,,423.2914
clingcon,600,./heu_105/result/Instancesv2_round/sippv2/fixlen4/26morn/p04[count=350],162.0536,134.784,126.4538,117.761,,541.0524
clingcon,600,./heu_105/result/Instancesv2_round/sippv2/fixlen4/26morn/p05[count=350],162.0536,134.784,126.4538,117.761,127.012,668.0644
clingcon,600,./heu_105/result/Instancesv2_round/sippv2/fixlen4/26morn/p02[count=350],162.0536,134.784,,,,296.8376
clingcon,600,./heu_105/result/Instancesv2_round/sippv2/fixlen4/26morn/p01[count=350],162.0536,,,,,162.0536
